,wav,sigma_wav,separation,intensity,sigma_intensity,label,number_of_lines,clean,subline_wav,subline_I,err_important,transmission
12,1499.8541685443902,0.0007000150217663758,0.8378300481515453,0.020104751243920957,0.007606897225327529,CO2|CO2|H20|CO2|CO2|CH4|CO2|CO2|H20|H20|CO2|H20,12,False,"[1499.90891151 1499.87540595 1499.87300875 1499.87207831 1499.86042089
 1499.85762601 1499.85156996 1499.83474281 1499.81677263 1499.80846546
 1499.78112532 1499.77920775]","[0.1739 0.0207 0.0936 0.0402 0.1313 0.0353 0.1325 0.1723 0.0586 0.0853
 0.0212 0.0351]",0.07776843373026573,0.9355682791368897
13,1500.8716334818494,0.0008557276635214236,0.556183055947713,0.01872885638324163,0.006992390344387635,CO2|H20|H20|CO2|H20|CH4|H20|CO2|CH4|CO2|CO2|CO2|H20,13,False,"[1500.99754834 1500.96657257 1500.93334189 1500.93243987 1500.92193267
 1500.8823312  1500.87727515 1500.87432736 1500.85811563 1500.84941646
 1500.80376296 1500.79156287 1500.76097061]","[0.0733 0.0412 0.0126 0.0287 0.0761 0.2141 0.123  0.0312 0.074  0.0461
 0.0223 0.0743 0.1831]",0.06982933762703193,0.9443889769852898
14,1501.427816537797,0.0007118613836727538,0.556183055947713,0.005327839702527154,0.002042018323557152,CH4|H20|CH4|CH4|CH4|CH4|CO2|CH4|H20|CO2|CO2|CO2|CO2|CH4|CO2,15,False,"[1501.57531768 1501.51809237 1501.49388131 1501.48285696 1501.46784247
 1501.46184577 1501.43492819 1501.42920295 1501.42159296 1501.42085762
 1501.41415279 1501.38975189 1501.37665279 1501.36527402 1501.28012174]","[0.0775 0.0871 0.03   0.0151 0.0599 0.0191 0.0909 0.1978 0.0566 0.0151
 0.0504 0.1224 0.0235 0.0558 0.0987]",0.099081289404808,0.9496062396475924
15,1502.014297657712,0.0007212329046941809,0.241689238187746,0.005354055814282429,0.0020242125227223767,CO2|H20|H20|CO2|CO2|H20|CO2|CO2|CO2|CH4|H20|CO2|H20|CH4,14,False,"[1502.1254287  1502.07711053 1502.07268223 1502.06465012 1502.0469315
 1502.04683923 1502.04130989 1502.0125051  1502.00153473 1501.99109196
 1501.96802134 1501.96629083 1501.95341809 1501.91186622]","[0.1061 0.0316 0.0171 0.0277 0.0129 0.0383 0.0241 0.3335 0.0413 0.1592
 0.0324 0.1144 0.0273 0.0339]",0.06762120640532444,0.9453471845061072
16,1502.2559868958997,0.0007992592308305532,0.241689238187746,0.007933826463139823,0.003614076621662786,H20|H20|CH4|CO2|CO2|H20|CO2|H20|H20|CH4|CH4|CO2|H20|CO2|CH4|CH4|H20|CO2,18,False,"[1502.38472099 1502.37642192 1502.34200095 1502.32336238 1502.30005812
 1502.29801495 1502.29016797 1502.28549377 1502.2773716  1502.2739771
 1502.24874619 1502.23664604 1502.22121478 1502.19996268 1502.18810973
 1502.16847784 1502.16762262 1502.1254287 ]","[0.0506 0.039  0.0219 0.0574 0.0179 0.0123 0.0403 0.1345 0.014  0.0428
 0.0657 0.2087 0.0581 0.0454 0.0534 0.0514 0.018  0.0686]",0.04761766130372911,0.9498728735149835
17,1502.840145983227,0.0010201496638512096,0.526639749557944,0.01928215471734917,0.007121532315059089,(2-0)pP1f(7.5)|CH4|CH4|CH4|CO2|H20|CO2|CH4|CO2,9,False,"[1502.69697056 1502.97373875 1502.9285841  1502.91505404 1502.87629189
 1502.85428789 1502.8348152  1502.79406235 1502.76084668]",[0.0858 0.1013 0.0175 0.0482 0.1769 0.0121 0.3665 0.1765 0.0153],0.040198564877030975,0.9249431963720648
18,1503.366785732785,0.0007693496713478487,0.2780861399285186,0.003908357694445409,0.0015235306983796527,(2-0)pQ12e(5.5)|CO2|H20|CH4|CH4|CO2|H20|H20|CH4|CH4|CO2|H20|H20,13,False,"[1503.43566301 1503.4880657  1503.42412587 1503.40949972 1503.38402724
 1503.37086168 1503.36734742 1503.35490334 1503.34400081 1503.32004474
 1503.29378727 1503.2837724  1503.27062825]","[0.0185 0.1262 0.0146 0.0312 0.0948 0.1012 0.4466 0.0114 0.0405 0.014
 0.0383 0.0381 0.0245]",0.08455953065416535,0.9408164375292067
19,1503.6448718727136,0.0008844298957765612,0.2780861399285186,0.004081361093506113,0.0015434102826185386,(2-0)pQ12f(5.5)|H20|CO2|CO2|CO2|CH4|CO2|CH4|CO2|CH4|CH4|CO2|CH4|H20|CH4|H20|CO2|CO2,18,False,"[1503.61631836 1503.76925146 1503.75090717 1503.69191846 1503.68346226
 1503.67171069 1503.66871936 1503.66623902 1503.65898686 1503.63795429
 1503.62004796 1503.60289582 1503.60017515 1503.59091944 1503.58138803
 1503.56764659 1503.5632884  1503.4880657 ]","[0.0133 0.1035 0.035  0.0185 0.0384 0.1324 0.0723 0.0726 0.075  0.019
 0.0508 0.03   0.0648 0.0173 0.0145 0.1249 0.0223 0.0953]",0.040464484816028344,0.8923632460021426
20,1505.2918360946028,0.001035711177485719,0.2639548021979863,0.023787099649236212,0.007897461360379585,(3-1)qQ2f(0.5)|(3-1)qQ2e(0.5)|CH4|CH4,4,False,[1505.31882109 1505.25386031 1505.3208803  1505.28127182],[0.4892 0.4872 0.0108 0.0129],0.057417475845730995,0.9448713179353518
21,1505.5557908968008,0.0007000150217663758,0.2639548021979863,0.2010043244798207,0.07553843996822547,(3-1)qQ1f(1.5)|(3-1)qQ1e(1.5),2,True,[1505.56546364 1505.54405546],[0.5001 0.4999],0.0006221599911813794,0.9506006860021532
